Record ID,Record,Categories,Location > State,Website,contact,emailContact,about,services,phone,location,clients
0a17b3fb-932d-4f16-b5bd-1737531a2f6d,Startup CPG,Community & Network,NY,https://startupcpg.com/,"Daniel Scharff, Peter Boyajian",peter@peterboyajian.com,,,,"New York City, NY, United States of America",
0a7afdd8-67d2-4946-a265-077827df714a,Grande Cheese Company,Flavors & Ingredients,WI,https://grande.com/,,,,,,"250 Camelot Drive Fond du Lac, WI 54935, WI, United States of America",
0d55feb3-7026-4e94-b326-6c20abb4e205,My Cooking Box,PR & Marketing,NY,https://mycookingbox.it/,Chiara Rota,info@mycookingbox.it ,,,354236154,"New York City, NY, United States of America",
18fed4dc-08d2-46c4-b011-67cf2c701c5f,UNFI (4 Yearly Shows),Event & Trade show,NY,https://www.unfi.com/news-and-resources/events.html,,,,,,"New York City, NY, United States of America ",
1fb317c8-a8e8-427b-88ab-6689eeac539c,Assembled Brands,Financing & Working Capital,CA,https://www.assembledbrands.com/,,,,,,"Los Angeles, CA, United States of America ",
27410949-9a47-4b24-936d-2dcaadd9b6dc,Opply,Flavors & Ingredients,IL,https://opply.com/,,,,,,"Chicago, IL, United States of America ",
2ca036d1-7dce-40b8-9e00-28301caba5e6,Palermo Villa,Flavors & Ingredients,WI,https://www.palermovillainc.com/,,,,,,"3301 W Canal St Milwaukee, WI 53208, WI, United States of America ",
2e488f8d-32fa-4055-850b-b1b41d3cdb0f,Morrison Seger Venture,Investor,TX,https://www.morrisonseger.com/,,,,,,"Dallas, TX, United States of America ",
2eb5bc1b-4882-49bc-9bb0-da5aec526431,Coal'd Water Distilling Company,Co-Packer & Co-Manufacturer,TN,coaldwater.com,,,"Coal'd Water Distilling Company can help manufacturers meet production demands with our newly-installed canning line capable of running standard and sleek cans from 8oz sleek to 19.2oz standard. With a natural-spring on-site, we have the freshest water for still/sparkling, and can adapt the line to run carbonated beverages, cold brew coffees, RTD cocktails, THC-infused beverages, and others. We are located in East Tennessee at the foothills of the Great Smoky Mountains. ","Our canning capabilities include sleek and standard cans from 8oz to 19.2oz. Loose cans or cartons into shrink-wrapped trays. We can handle still/sparkling waters, cold brew coffees, RTD cocktails, THC-infused beverages, carbonated beverages and energy drinks. The current line runs up to 100 cans per minute, and we will be functional at 200 cans per minute in 2026. ",8655097007,"3169 Old Highway 411. Dandridge, TN 37725, TN, United States of America ",
31c22981-5b8c-4b32-8ded-d70a6857187b,Jaguar Freight,Logistics & Warehouse,NY,https://jaguarfreight.com/,,,,,,"New York City, NY, United States of America ",
4495445e-c114-4a7e-9e4d-4d15252bcd33,Bertozzi,Flavors & Ingredients,CT,https://www.bertozziamerica.com,,,,,,"Norwalk, CT, United States of America ",
466e4aea-a056-4f9c-9e8b-94c97a8da30e,Giannuzzi Lewendon,Legal services,NY,https://gllaw.us/,"Anthony Iuzzolino, Ryn Hall ",,,,,"New York City, NY, United States of America ",
4f29a075-c340-4692-beca-ea90296075e0,Gander Agency,Branding & Packaging,NY,https://takeagander.com/,,hello@takeagander.com,,,,"New York City, NY, United States of America ",
6ca14fda-c3e7-42ce-b350-df08b36cf387,Ferraro Foods,Flavors & Ingredients,NJ,https://www.ferrarofoods.com/,,,,,,"287 South Randolphville Rd Piscataway, NJ 08854, NJ, United States of America ",
6de16896-a93c-45dc-8232-34dff6ee52ca,Summer Fancy Food Show,Event & Trade show,NY,https://www.specialtyfood.com/fancy-food-shows/summer/,,,,,,"New York City, NY, United States of America ",
7784a1e8-205f-4952-be74-9301139cf2a1,SIGEP,Event & Trade show,,https://www.sigep.it,,,,,,,
7cb3e195-de53-4d7b-99a0-a2c183f01364,Newtopia Now,Event & Trade show,CO,https://www.newtopianow.com/en/home.html,,,,,,"Denver, CO, United States of America ",
81de697d-14b4-4278-9ed3-63f09b3b3237,UNFI (Level Up),Accelerator & Incubator,NY,https://www.unfi.com/services/supplier-services/up-next.html,,,,,,"New York City, NY, United States of America ",
